"video_id","title","comment_text","author","published_at","comment_like_count","reply_count","comment_id","reply_text","parent_id","series"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,ㄱ다렸어 형의 이런 언빡싱 일본경차에서 맥북뜯은게 생각나네^^,@user-wi1hn3oe6q,"2020-10-27T12:57:36Z","1",0,UgwVg-usIE_IBth1ew94AaABAg,"",UgwVg-usIE_IBth1ew94AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,오랜만에 jm 엉덩이 딱 좋고,@유우키아스나,"2020-10-27T12:57:41Z","0",0,UgwY4Ok4Ecd12ynXMXV4AaABAg,"",UgwY4Ok4Ecd12ynXMXV4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,오바쟁이   또  시작 하셨네  ㅋㅋㅋㅋㅋ  오랫만엔  방댕이   ㅋㅋㅋㅋ,@nimae0105,"2020-10-27T12:57:44Z","0",0,UgxyTN_KxuYIdzPGGRh4AaABAg,"",UgxyTN_KxuYIdzPGGRh4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,냄새 맡는거 몇달만에 보는것 같다..ㅋㅋㅋㅋ,@tp_of_middle,"2020-10-27T12:57:44Z","0",0,UgwbO6CpsdsPFr8-kZt4AaABAg,"",UgwbO6CpsdsPFr8-kZt4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,냄새맡는거봐ㅋㄱㄱㅋㄱ,@user-bf4kr2te3d,"2020-10-27T12:57:49Z","0",0,Ugz2DCKCWp58fRJMzmd4AaABAg,"",Ugz2DCKCWp58fRJMzmd4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"",@유우키아스나,"2020-10-27T12:57:49Z","1",0,Ugx8_flS6vfyZ--Odt14AaABAg.9FJkrL-56_e9FJlT0RNfs3,@@toyhound ㅋㅋㅋㅋㅋ,Ugx8_flS6vfyZ--Odt14AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,무거워요?,@Mickeyma0se.,"2020-10-27T12:58:02Z","0",0,Ugzc5qwSgIOdCwAUw_B4AaABAg,"",Ugzc5qwSgIOdCwAUw_B4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"언박싱의 정석 : 박스 찢고, 부소품 던지고, 제품 냄맡 완벽 ㅋㅋ",@promax1218,"2020-10-27T12:58:05Z","0",0,Ugz68bHrPxDeiuhMIip4AaABAg,"",Ugz68bHrPxDeiuhMIip4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"2:36 it’s bbyororong",@user-nd1hl8bi2y,"2020-10-27T12:58:09Z","0",0,UgwCSpapJJ_gKSjafLt4AaABAg,"",UgwCSpapJJ_gKSjafLt4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,엣찌다요. 제이애무상..,@wonjunjung6879,"2020-10-27T12:58:11Z","0",0,UgwPmdxFXDGcMBPc0Yx4AaABAg,"",UgwPmdxFXDGcMBPc0Yx4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"",@KNBJGVG,"2020-10-27T12:58:18Z","0",0,Ugx8_flS6vfyZ--Odt14AaABAg.9FJkrL-56_e9FJlWYB5-Ff,이 드립 안지겹냐,Ugx8_flS6vfyZ--Odt14AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,아내분 표정이 ㅋㅋ 유튜버 쉽지않아보입니다 ㅋㅋ만만하지 않네요ㅋㅋ ㅠㅠ,@GeorgeCANADDY,"2020-10-27T12:58:20Z","0",0,UgygopFar-PNb14sSfl4AaABAg,"",UgygopFar-PNb14sSfl4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,일찍왔다!!,@user-qc5xb5bc9b,"2020-10-27T12:58:27Z","1",0,UgwyCCzH3qGUYXK6Bvp4AaABAg,"",UgwyCCzH3qGUYXK6Bvp4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,뭐야.. 왠 미친 사람이 나오는거지...,@user-oo8hf5jx9u,"2020-10-27T12:58:32Z","0",0,UgxXAccuMaGvBZbRvoJ4AaABAg,"",UgxXAccuMaGvBZbRvoJ4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"6:00 ㅋㅋㅋㅋ 형인줄",@TALES_O,"2020-10-27T12:58:35Z","0",0,UgznYx_l9kq9YOW_1-h4AaABAg,"",UgznYx_l9kq9YOW_1-h4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"0:06 오두방정의 시작ㅋㅋㅋㅋㅋㅋㅋ",@boriboribob,"2020-10-27T12:58:48Z","1",0,UgxswUnks9Jq5tnjP3B4AaABAg,"",UgxswUnks9Jq5tnjP3B4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,부끄럽다 부끄러 ㅜㅜ,@user-rv6sc2tt2t,"2020-10-27T12:58:52Z","0",0,UgyVmEkuVkX0ONGdm_t4AaABAg,"",UgyVmEkuVkX0ONGdm_t4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,시작부터 웃낌. 역시 JM,@kisunglee9257,"2020-10-27T12:58:53Z","1",0,UgwwmA2KsrDNJ7Yjf6t4AaABAg,"",UgwwmA2KsrDNJ7Yjf6t4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,진짜 극한에 컨셉충이다ㅋㅋㅋㅋ 언박싱 할때마다 뭐야 저게ㅋㅋㅋㅋㅋㅋ,@ssapp2737,"2020-10-27T12:59:00Z","47",2,UgxIjDCnDcZkL0fbD5J4AaABAg,"",UgxIjDCnDcZkL0fbD5J4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,"오오~~
아이뻐네요~~",@user-xd5ki1kv1o,"2020-10-27T12:59:22Z","0",0,UgwreqdVxozkB9B6bUx4AaABAg,"",UgwreqdVxozkB9B6bUx4AaABAg,"12"
g7TE9C1K3gs,아이폰 12 pro로 기변했습니다,실리콘은 이해하는데 5만원짜리 투명케이스..,@kcg23,"2020-10-27T12:59:29Z","0",0,UgwpsSIUfZzbxhKV_9h4AaABAg,"",UgwpsSIUfZzbxhKV_9h4AaABAg,"12"
